rsi,cycle,band,atr,obv,accdist,label
61.67,0.0234,355.5485,0.2535,18994,66024.83,true
64.57,0.0744,355.5209,0.2602,24376,72140.43,true
61.2,0.0491,190.1635,0.1574,37463,-6831.2,true
61.55,0.0741,190.1688,0.1574,95654,-19098.62,true
67.35,-0.0492,355.7567,0.2499,48125,46793.59,true
69.06,0.007,356.0633,0.2505,52187,64160.14,false
57.38,0.0345,95.4056,0.1156,1642460,1005922.94,false
62.04,0.0607,190.5205,0.1361,-29606,34110.25,true
66.03,0.0989,190.5283,0.1375,87842,93350.24,true
64.41,0.0644,95.4865,0.1138,2481264,1703247.5,false
69.04,0.1029,190.5055,0.1389,217010,115667.8,true
73.3,0.0395,356.2789,0.2503,84902,76116.29,false
73.27,0.1009,190.4643,0.1427,218628,137794.69,false
75.82,0.0893,356.2578,0.2539,102169,87266.84,false
64.07,0.0697,190.6461,0.169,76733,68634.24,true
61.83,0.2136,356.848,0.2946,102421,61582.56,true
65.35,0.2418,356.8632,0.3093,113655,68355.57,true
58.86,0.0729,95.4757,0.136,2077788,758897.44,true
72.22,0.0598,190.6994,0.1787,271811,213078.42,true
59.98,0.0278,95.5008,0.1314,2136985,1097403.2,true
75.08,0.0947,190.7441,0.1799,370449,275392.97,true
65.83,0.0305,356.9347,0.3326,118490,92189.15,true
63.36,0.0326,95.5153,0.1357,2933737,1718565,true
75.72,0.0876,190.793,0.191,501656,191030.44,true
66,0.0794,356.9417,0.3383,166338,59113.86,true
70.09,0.0188,95.5646,0.1693,6908339,2371789.2,true
72.27,0.0968,95.5967,0.17,7312300,2244342.8,true
74.03,0.0856,191.2273,0.2579,755842,250363.05,true
77.13,0.1348,191.2662,0.2593,949639,200725.52,true
75.78,0.012,191.4124,0.2862,1196926,322941.9,true
66.01,0.0378,357.7283,0.4802,468108,124847.68,false
74.84,0.0264,95.7805,0.19,10273167,2849236.8,true
78.85,0.1454,191.3666,0.2884,1440478,387805.06,false
71.04,0.2562,357.6861,0.5102,572317,113925.35,false
78.87,0.0981,95.7694,0.195,11692990,3772395,false
79.66,0.1137,95.7597,0.1949,12545531,3898296.8,false
82.63,0.1111,191.2642,0.295,1792176,638382.2,false
81.24,0.0677,95.7559,0.1928,13475035,4979966.5,false
84.22,0.0995,191.2082,0.2976,2052660,833745.2,false
82.18,0.0238,95.7483,0.202,15589191,5029529.5,false
0,0,0,0,0,0,false
0,0,0,0,0,0,false
0,0,0,0,0,0,false
0,-41.7974,0,0,0,0,false
0,-23.8599,0,0,0,0,false
0,-35.3934,0,0,0,0,true
0,-25.8624,0,0,0,0,true
60.6,-9.4763,0,0.4297,0,0,true
38.27,-24.8563,0,0.6223,0,0,false
60.94,-6.7442,0,0.4311,0,0,false
62.22,-9.8194,0,0.4388,0,0,false
38.4,-17.6152,0,0.5638,0,0,false
61.08,-4.7459,0,0.4193,0,0,false
59.99,0.0073,98.2645,0.2689,0,0,true
62.2,-0.0192,196.9112,0.2676,0,0,true
39.41,0.0835,360.0709,0.3518,0,0,true
60.51,0.0672,98.297,0.2567,0,0,false
40.25,0.2189,360.1161,0.3668,0,0,true
63.42,0.0479,197.044,0.2684,0,0,true
40.9,-0.0262,360.2857,0.3675,0,0,true
64.05,0.1005,197.0027,0.2734,0,0,false
41.92,0.0263,360.2797,0.3725,0,0,true
64.46,-0.0025,196.9176,0.3027,0,0,false
43.16,0.0037,360.1779,0.3971,0,0,false
60.76,0.069,98.4831,0.201,0,0,false
65.15,-0.0716,196.8433,0.2793,0,0,false
44.42,-0.0611,360.0221,0.3873,0,0,false
61.36,0.1267,98.4456,0.2035,0,0,false
44.6,0.2021,361.3241,0.3576,0,0,true
47.77,0.2913,361.3652,0.3511,0,0,true
59.81,0.0727,98.6518,0.168,0,0,false
58.91,0.1377,197.647,0.2286,0,0,false
50.27,0.3715,361.3809,0.3586,0,0,false
62.36,0.1204,98.6174,0.1794,0,0,false
52.04,0.1398,361.4196,0.3639,0,0,false
52.81,0.0648,361.3811,0.3628,0,0,false
57.19,0.0352,197.7165,0.2645,485563,444760.56,true
