rsi,cycle,band,atr,obv,accdist,label
37.66,-0.064,359.3682,0.293,68428,93629,false
39.58,-0.0358,95.8056,0.142,358588,1526944.6,false
33.31,-0.0518,190.4984,0.227,-159292,-253137.48,false
41.21,-0.0591,359.3416,0.307,76284,126773.88,false
29.2,-0.0788,190.3896,0.238,-235276,-327768.3,false
29.2,-0.108,190.304,0.2237,-184173,-265359.97,false
38.72,0.0107,359.3113,0.3195,91742,151704.19,false
29.14,0.0537,190.1253,0.2201,-220903,-289800.34,false
33.78,-0.0024,359.2069,0.3132,31908,115080.92,false
37.25,0.0043,95.7404,0.1523,-957398,1208879.1,true
38.11,-0.0383,359.1492,0.3354,87967,184378.33,false
27,0.0457,189.9411,0.2188,-502771,-471823.47,true
31.46,-0.0883,358.8643,0.2998,-75458,106800.18,false
36.12,-0.1123,189.9308,0.2017,-480952,-515907.38,false
30.07,-0.1426,358.7716,0.2848,-125163,65218.48,false
40.15,-0.0762,95.7651,0.1243,-521439,173204.11,true
32.89,-0.142,189.9222,0.2067,-616986,-562188.4,true
27.32,-0.13,358.6441,0.2999,-151314,76476.75,false
39.47,-0.0613,95.7498,0.1243,-382511,539664.56,true
32.89,-0.1151,189.9456,0.2053,-542987,-502989.2,true
28.95,-0.0834,189.8854,0.2066,-652939,-534389.5,true
24.19,-0.0438,358.4152,0.2856,-119323,41507.83,true
35.83,0.0201,358.3572,0.2821,-78693,56259.09,false
42.63,-0.0204,189.92,0.1825,-638465,-443873.28,true
28.16,-0.1815,358.0774,0.2798,-38012,146394.95,true
25.27,-0.2237,357.9198,0.298,-106259,121184.27,true
43.25,-0.0154,189.9225,0.1669,-560759,-409089.56,true
42.77,-0.006,357.9072,0.2983,-381549,-32377.28,true
38.38,0.0119,357.8816,0.3054,-375637,-30446.61,true
42.21,-0.0096,357.8782,0.2969,-363321,-25197.18,true
54.01,-0.1015,190.2034,0.1738,-480168,-317213.4,true
41.52,-0.0822,358.0507,0.2532,-331543,463.24,true
47.52,-0.0381,95.9258,0.1162,311375,2383732.2,false
50.14,-0.0482,95.9363,0.1148,219022,2217044.2,false
41.02,-0.05,95.9315,0.1184,-815905,1667740.5,true
44.42,-0.129,358.0356,0.2486,-319969,11818.13,true
43.38,-0.0139,95.8536,0.1178,310260,2127888.5,true
53.57,-0.0868,190.8187,0.1886,-382267,-181154.27,true
43.42,-0.1102,358.0227,0.2481,-284948,47746.64,true
39.72,-0.0164,95.8229,0.1163,438405,2296982.8,true
36.65,-0.0323,95.7849,0.1149,-392589,1937653.8,true
55.97,-0.0535,190.955,0.1656,-95519,32929.38,false
54.82,-0.029,191.0479,0.1627,-102229,24665.04,false
46.66,-0.0453,191.0401,0.1627,-111335,33163.44,false
48.49,-0.0683,191.044,0.1506,285,75290.76,false
41.92,-0.0569,191.0314,0.1534,175599,171935.23,false
53.59,-0.06,95.7495,0.1134,1088921,3491911,false
59.51,-0.1641,358.096,0.2764,-54741,129198.52,false
47.16,-0.121,95.7638,0.1252,337039,2984397.2,false
35.51,-0.072,190.9762,0.1503,139492,149776.97,false
55.63,-0.2019,358.2314,0.2735,-39223,158292.19,false
46.32,-0.0731,95.8366,0.122,277590,2503157.8,false
51.64,-0.0809,358.4408,0.2667,-126293,86612.68,false
41.19,-0.04,95.8392,0.1227,203561,2250171.8,false
34.38,0.0329,190.7975,0.1589,20662,42839.96,false
45.35,-0.1062,358.4835,0.2759,-196983,19463.86,false
36.81,-0.0539,95.8267,0.1266,35174,2047968.5,false
40.87,0.0301,190.7627,0.164,110367,97521.18,false
45.35,-0.1256,358.4957,0.2702,-152046,430.16,false
39.37,-0.0439,95.8024,0.1285,-77815,1763120,false
42.42,-0.0708,358.5006,0.2787,-153153,1968.05,false
39.15,0.007,95.7851,0.126,-111028,2135766.2,false
40.53,0.009,358.523,0.2679,-123863,17572.31,false
33.25,-0.037,190.5829,0.165,53985,51499.82,false
37.2,0.0114,95.7033,0.123,-945564,1519283.8,false
32.43,-0.0407,190.5482,0.1536,-28333,7882.17,false
31.58,-0.0075,95.652,0.1251,-1121292,884860.94,false
32.19,-0.0303,95.6058,0.1194,-538460,1053185.1,false
29.34,-0.0449,190.4928,0.1638,-170251,-58460.68,false
44.48,-0.0225,358.3241,0.2923,-36647,76373.3,false
32.51,0.0188,95.5252,0.112,-1606008,413708.03,false
26.73,-0.1499,190.4245,0.1709,-284376,-118644.33,true
39.35,-0.226,358.2659,0.3073,-39278,74982.77,false
24.82,-0.0579,95.4628,0.1234,-2768778,-535313.25,false
23.88,-0.1513,190.3091,0.1774,-305026,-137624.97,true
28.35,-0.0953,95.423,0.1224,-2331037,-5757.22,false
25.58,-0.0531,95.3871,0.1267,-2469326,-269034.84,false
23.83,-0.0242,95.3237,0.1262,-2756547,-470299.34,false
24.24,-0.0106,95.2645,0.1276,-1984818,86774.72,false
38.96,0.0396,358.1419,0.3106,-95442,97720.37,false
20.94,0.0141,95.1428,0.1315,-3472709,-810605.75,true
36.26,0.0217,358.1056,0.3099,-140837,73627.01,false
26.45,0.0204,95.0982,0.1329,-3530533,-923561.2,false
33.87,0.013,190.0763,0.187,-481590,-139829.34,true
32.03,-0.0325,190.0585,0.1748,-523949,-157176.34,true
